table,weight,side,r,d,value
beat prime,beat,prime,24,3,2.7588742534
beat prime,beat,prime,5,4,2.0790947579
beat prime,beat,prime,6,4,-2.4187363355
beat prime,beat,prime,7,4,2.0872369872
beat prime,beat,prime,8,4,-1.2670419424
beat prime,beat,prime,9,4,0.6089607174
beat prime,beat,prime,10,4,-0.4468775658
beat prime,beat,prime,11,4,0.5566332784
beat prime,beat,prime,12,4,-0.3285396709
beat prime,beat,prime,13,4,-0.0758473173
beat prime,beat,prime,14,4,0.4887830008
beat prime,beat,prime,15,4,-0.5731581852
beat prime,beat,prime,16,4,0.6792761796
beat prime,beat,prime,17,4,-0.3522582233
beat prime,beat,prime,18,4,0.1975695465
beat prime,beat,prime,19,4,0.3854678379
beat prime,beat,prime,20,4,-0.1979583713
beat prime,beat,prime,21,4,0.7508485772
beat prime,beat,prime,22,4,-0.0055178599
beat prime,beat,prime,23,4,0.7605728538
beat prime,beat,prime,24,4,0.7020947243
beat prime,beat,prime,6,5,-4.4978310934
beat prime,beat,prime,7,5,4.5059733227
beat prime,beat,prime,8,5,-3.3542789296
beat prime,beat,prime,9,5,1.8760026598
beat prime,beat,prime,10,5,-1.0558382832
beat prime,beat,prime,11,5,1.0035108442
beat prime,beat,prime,12,5,-0.8851729493
beat prime,beat,prime,13,5,0.2526923536
beat prime,beat,prime,14,5,0.5646303180
beat prime,beat,prime,15,5,-1.0619411860
beat prime,beat,prime,16,5,1.2524343648
beat prime,beat,prime,17,5,-1.0315344029
beat prime,beat,prime,18,5,0.5498277697
beat prime,beat,prime,19,5,0.1878982914
beat prime,beat,prime,20,5,-0.5834262092
beat prime,beat,prime,21,5,0.9488069485
beat prime,beat,prime,22,5,-0.7563664371
beat prime,beat,prime,23,5,0.7660907136
beat prime,beat,prime,24,5,-0.0584781294
unit comp,unit,comp,1,0,0.0000000000
unit comp,unit,comp,2,0,1.0000000000
unit comp,unit,comp,3,0,2.0000000000
unit comp,unit,comp,4,0,6.0000000000
unit comp,unit,comp,5,0,11.0000000000
unit comp,unit,comp,6,0,25.0000000000
unit comp,unit,comp,7,0,51.0000000000
unit comp,unit,comp,8,0,105.0000000000
unit comp,unit,comp,9,0,213.0000000000
unit comp,unit,comp,10,0,437.0000000000
unit comp,unit,comp,11,0,887.0000000000
unit comp,unit,comp,12,0,1793.0000000000
unit comp,unit,comp,13,0,3632.0000000000
unit comp,unit,comp,14,0,7320.0000000000
unit comp,unit,comp,15,0,14772.0000000000
unit comp,unit,comp,16,0,29738.0000000000
unit comp,unit,comp,17,0,59827.0000000000
