x,pi2
14980000000,39588202
14990000000,39612300
15000000000,39636297
15010000000,39660421
15020000000,39684526
15030000000,39708596
15040000000,39732453
15050000000,39756586
15060000000,39780895
15070000000,39805070
15080000000,39828700
15090000000,39852656
15100000000,39876795
15110000000,39900836
15120000000,39924746
15130000000,39948514
15140000000,39972491
15150000000,39996518
15160000000,40020637
15170000000,40044613
15180000000,40068840
15190000000,40092834
15200000000,40116915
15210000000,40140918
15220000000,40164854
15230000000,40188869
15240000000,40212853
15250000000,40236937
15260000000,40260901
15270000000,40284904
15280000000,40308856
15290000000,40333004
15300000000,40357103
15310000000,40381205
15320000000,40405411
15330000000,40429481
15340000000,40453462
15350000000,40477382
15360000000,40501249
15370000000,40525176
15380000000,40549403
15390000000,40573461
15400000000,40597339
15410000000,40621413
15420000000,40645576
15430000000,40669463
15440000000,40693459
15450000000,40717197
15460000000,40741067
15470000000,40764864
15480000000,40788730
15490000000,40812710
15500000000,40836524
15510000000,40860569
15520000000,40884482
15530000000,40908460
15540000000,40932508
15550000000,40956605
15560000000,40980576
15570000000,41004384
15580000000,41028119
15590000000,41052074
15600000000,41075908
15610000000,41099709
15620000000,41123642
15630000000,41147706
15640000000,41171741
15650000000,41195779
